name,rate,image,glb_company_size,industry,review,salary,jobs,locations,description
Amazon,3.7,https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png,10000.0,Internet & Web Services,189500.0,480800.0,12500.0,65 office locations,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  

We are driven by the excitement of building technologies, inventing products, and providing services that transform the way our customers live their lives and run their businesses."
Deloitte,4.0,https://media.glassdoor.com/sql/2763/deloitte-squareLogo-1674210308592.png,10000.0,Accounting & Tax,110100.0,197300.0,28400.0,43 office locations,"Deloitte provides industry-leading audit and assurance, tax and legal, consulting, financial advisory, and risk advisory services to nearly 90% of the Fortune Global 500® and thousands of private companies. Our more than 412,000+ professionals deliver measurable and lasting results that help reinforce public trust in capital markets, enable clients to transform and thrive, and lead the way toward a stronger economy, a more equitable society and a sustainable world. Building on its 178-plus year history, Deloitte spans more than 150 countries and territories.


Deloitte US-India Offices is part of region within the Deloitte US organization, with offices across seven cities in India — Hyderabad, Mumbai, Delhi-NCR, Bengaluru, Kolkata, Pune and Chennai."
McDonald's,3.5,https://media.glassdoor.com/sql/432/mcdonald-s-squareLogo-1696368009989.png,10000.0,Restaurants & Cafes,132700.0,81200.0,93800.0,2 office locations,"McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries and billions of customers served each year.  As the global leader in the food service industry, we have a legacy of innovation and hard work that continues to drive us. Today, we are growing with velocity and are focused on modernizing our experiences, not to make a different McDonald’s but to build a better McDonald’s. About 80% of the restaurants are run by franchisees or affiliates."
Target,3.5,https://media.glassdoor.com/sql/194/target-squarelogo-1473787305116.png,10000.0,General Merchandise & Superstores,81200.0,120300.0,10300.0,5 office locations,"As a Fortune 50 company with more than 400,000 team members worldwide, Target is an iconic brand and one of America's leading retailers. Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It's how we care, grow, and win together. "
Accenture,3.9,https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png,10000.0,Business Consulting,162000.0,64200.0,33600.0,37 office locations,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 624,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com."
IBM,3.9,https://media.glassdoor.com/sql/354/ibm-squareLogo-1680100245029.png,10000.0,Information Technology Support Services,110500.0,83400.0,5900.0,37 office locations,"IBM works to design, advance, and scale the technologies that define each era. Restlessly reinventing since 1911, we are one of the largest technology, consulting and research companies in the world.  IBMers are agents of change – in this team, you’ll become a part of a historic, prestigious, and global community in which you’ll be respected, and your talents will have a real impact. 

Join our team of experts and thrive in a collaborative and friendly environment where you can bring your whole self at work. Use your skills to empower clients and partners to create something that is bigger than what any one of us could produce alone.

Come and let’s create together!"
,,,,,,,,,
Tata Consultancy Services,3.8,https://media.glassdoor.com/sql/13461/tata-consultancy-services-squareLogo-1634801936555.png,10000.0,Software Development,136400.0,85600.0,1300.0,39 office locations,"Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. This is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development.

A part of the Tata group, India's largest multinational business group, TCS has over 528,000 of the world’s best-trained consultants in 46 countries. The company generated consolidated revenues of US $22.2 billion in the fiscal year ended March 31, 2021 and is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index. For more information, visit www.tcs.com"
Cognizant Technology Solutions,3.8,https://media.glassdoor.com/sql/8014/cognizant-technology-solutions-squareLogo-1651131366751.png,10000.0,Information Technology Support Services,100200.0,98300.0,1600.0,31 office locations,"Cognizant (NASDAQ-100: CTSH) is one of the world's leading professional services companies, transforming clients'​ business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 208 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com. To apply for open positions, visit https://careers.cognizant.com"
Starbucks,3.6,https://media.glassdoor.com/sql/2202/starbucks-squarelogo.png,10000.0,Restaurants & Cafes,69600.0,76900.0,23900.0,10 office locations,"By bringing people together over coffee, Starbucks has become one of the world’s best-known and best-loved companies. We purchase, roast and serve award-winning coffee. We also offer Italian-style espresso beverages, cold blended beverages, delicious food, premium teas and selected compact discs through our retail stores. Working at Starbucks is a lot like working with your friends. When you work here, you’re not an “employee” – we call ourselves “partners” because we believe in shared common goals and mutual success. We’re dedicated to serving ethically sourced coffee, caring for the environment and giving back to the communities where we do business.
"
Google,4.4,https://media.glassdoor.com/sql/9079/google-squarelogo-1441130773284.png,10000.0,Internet & Web Services,49000.0,107800.0,1300.0,"Headquarters in Mountain View, CA","Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com. "
EY,3.9,https://media.glassdoor.com/sql/2784/ey-squareLogo-1689166016078.png,10000.0,Accounting & Tax,78400.0,75200.0,7500.0,15 office locations,"At EY, you will work with entrepreneurs, the biggest companies and entire countries to solve their most pressing challenges. We promise you an exceptional experience that is yours to build — using our opportunities, scale, technology, learning, and diverse and inclusive culture.

And what you do here matters, guided by our purpose of building a better working world — for our people, for our clients and for our communities. We help digital pioneers fight data piracy, guide governments through cash flow crises, unlock new medical treatments with data analytics, and pursue high-quality audits to build trust in financial markets and business. 

With over 400,000 people in more than 150 countries, we’re one of the world’s leading professional services organizations, with four integrated service lines: Assurance, Consulting, Strategy and Transactions, and Tax. Our global reach, skills and ability to learn from different perspectives help us create positive change on a massive scale.
"
The Home Depot,3.8,https://media.glassdoor.com/sql/655/the-home-depot-squarelogo-1608140361711.png,10000.0,Home Furniture & Housewares Stores,48800.0,90900.0,1400.0,"2455 Paces Ferry Rd. SE, Atlanta, GA, 30339 ","The Home Depot, the world’s largest home improvement specialty retailer, values and rewards dedicated, knowledgeable, and experienced professionals.

We operate over 2,300 retail stores in all 50 states, the District of Columbia, Puerto Rico, the U.S. Virgin Islands, Guam, Canada, and Mexico. All of our associates have one thing in mind — helping our customers build and improve their homes. 

Join The Home Depot team today and see for yourself why we are consistently ranked as a top Fortune 500 company."
PwC,3.9,https://media.glassdoor.com/sql/8450/pwc-squareLogo-1688999699825.png,10000.0,Accounting & Tax,79100.0,58600.0,20900.0,75 office locations,"Our people are powered by technology to turn today’s ideas into tomorrow’s solutions.  Learn more about how you can help organizations meet the challenges and opportunities of the US marketplace in the areas of audit, tax, consulting and products and technology.

We connect people with diverse backgrounds and skillsets to solve important problems together—for our clients, our communities and for the world at large."
Apple,4.2,https://media.glassdoor.com/sql/1138/apple-squarelogo-1595530154096.png,10000.0,Computer Hardware Development,41200.0,136500.0,5100.0,25 office locations,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.  

Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more."
US Army,3.8,https://media.glassdoor.com/sql/41322/us-army-squarelogo.png,10000.0,National Agencies,44300.0,85300.0,1100.0,42 office locations,"The US Department of the Army has its marching orders. One of the three military departments (along with the Air Force and Navy) of the US Department of Defense, the Army provides ground-based military forces to deter and fight wars and protect the security of the US. The army has more than 675,000 soldiers, including active duty soldiers (nearly 75%) and reservists (Army National Guard and Army Reserves). Army personnel are deployed in about 80 countries. The Army operates about 40 forts throughout the US and has bases in Africa, Europe, Japan, the Middle East, and South Korea."
Wells Fargo,3.6,https://media.glassdoor.com/sql/8876/wells-fargo-squarelogo-1569533783558.png,10000.0,Banking & Lending,48800.0,71000.0,1900.0,26 office locations,"Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets, proudly serves one in three U.S. households and more than 10% of small businesses in the U.S.  Wells Fargo is No. 47 on Fortune’s 2023 rankings of America’s largest corporations. In the communities we serve, the company focuses its social impact on building a sustainable, inclusive future for all by supporting housing affordability, small business growth, financial health, and a low-carbon economy. 

We ranked #2 on the 2023 LinkedIn Top Companies list – and #1 among financial services companies – as the best workplace “to grow your career” in the U.S. For more information, visit wellsfargo.com | Twitter: @wellsfargo "
Oracle,3.8,https://media.glassdoor.com/sql/1737/oracle-squarelogo-1570718316042.png,10000.0,Enterprise Software & Network Solutions,52000.0,94400.0,3200.0,44 office locations,"Oracle is the cloud leader for global business. Our technologies are transforming the world and no matter how complex, they have one thing in common: making our shared future better. Realize your potential as part of a company that’s innovating solutions to global challenges that affect billions of lives. Visit oracle.com/careers."
Bank of America,4.0,https://media.glassdoor.com/sql/8874/bank-of-america-squareLogo-1696271923493.png,10000.0,Banking & Lending,40400.0,61600.0,1100.0,25 office locations,"Bank of America is one of the world’s leading financial institutions, serving individual consumers, small and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. 

We provide unmatched convenience in the United States, serving approximately 68 million consumer and small business clients with approximately 3,900 retail financial centers, approximately 15,000 ATMs and award-winning digital banking with approximately 56 million verified digital users. 

We are a global leader in wealth management, corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions and individuals around the world. Bank of America offers industry-leading support to approximately 3 million small business households through a suite of innovative, easy-to-use online products and services. We serve clients through operations across the United States, its territories and more than 35 countries. 

By driving Responsible Growth, we deliver for teammates, clients, and the communities we serve.  Being a Great Place to Work for our teammates is core to our approach. Our goal continues to be a company where people want to work today and build a career.  We provide employees with access to leading benefits and programs that help teammates be well—physically, emotionally and financially.  And we provide a variety of resources to help teammates grow in their roles and build new skills. 

Our diversity—in thought, style, gender, sexual orientation, gender identity, race, ethnicity, culture, religion, age, ability, military status and experience—makes us stronger and is essential for us to serve our clients, fulfill our purpose and drive Responsible Growth."
AT&T,3.6,https://media.glassdoor.com/sql/613/at-and-t-squareLogo-1677605813073.png,10000.0,Telecommunications Services,40800.0,60100.0,2200.0,25 office locations,"Looking for a new way to connect? You’re in the right place. We are in the business of connection – to our customers, our communities, and each other.  We are invested in building strong networks, future facing technology solutions, and career opportunities that have a global impact.

We want to give you 4 reasons why you should join #LifeAtATT.

1.	Whether you’re pursuing a career in sales, technology, or something else entirely, you’re ready to connect to something bigger. 
2.	We’ve got opportunities all over the globe to do what you love.
3.	Living our values – standing for equality, pursuing excellence, and thinking big – is right in your wheelhouse.
4.	You like great benefits.

Ready? It’s all waiting for you at att.jobs, and while you’re at it check out #LifeAtATT to get the latest on how we’re living, working, and playing.

We hope to connect with you soon!  "
Lowe's Home Improvement,3.5,https://media.glassdoor.com/sql/415/lowe-s-home-improvement-squareLogo-1677875740566.png,1001 to 5000 Employees,Home Furniture & Housewares Stores,41600.0,61500.0,1600.0,2 office locations,"Lowe’s Companies, Inc. (NYSE: LOW) is a FORTUNE® 35 home improvement company serving approximately 19 million customers a week in the United States. With the fiscal year 2022 sales of nearly $97 billion, Lowe’s and its related businesses operate or service more than 1,700 home improvement and hardware stores and employ over 300,000 associates. Based in Mooresville, N.C., Lowe’s supports the communities it serves through programs focused on creating safe, affordable housing and helping to develop the next generation of skilled trade experts. For more information, visit Lowes.com."
